title,author,score,pages,year,genre,desc,reviews,url
Portnoy’s Complaint,Philip Roth,"9,637",274,1969,"Fiction,Classics,Novels,Literature,American,Humor,Jewish","The famous confession of Alexander Portnoy, who is thrust through life by his unappeasable sexuality, yet held back at the same time by the iron grip of his unforgettable childhood. Hilariously funny, boldly intimate, startlingly candid, ","4,040",/book/show/43945.Portnoy_s_Complaint
Silent Spring,Rachel Carson,"18,805",378,1962,"Nonfiction,Science,Environment,Nature,Classics,Ecology,History","Silent Spring is an environmental science book. The book documents the adverse environmental effects caused by the indiscriminate use of pesticides. Carson accused the chemical industry of spreading disinformation, and public officials of accepting the industry's marketing claims unquestioningly.","3,430",/book/show/27333.Silent_Spring
Breakfast at Tiffany’s and Three Stories,Truman Capote,"18,805",142,1958,"Classics,Fiction,Short Stories,Romance,American,Literature,Audiobook","In this seductive, wistful masterpiece, ","15,527",/book/show/251688.Breakfast_at_Tiffany_s_and_Three_Stories
His Dark Materials (His Dark Materials #1-3),Philip Pullman,"53,824",1088,2000,"Fantasy,Fiction,Young Adult,Childrens,Science Fiction Fantasy,Science Fiction,Classics","The Golden Compass, The Subtle Knife, and The Amber Spyglass are available together in one volume perfect for any fan or newcomer to this modern fantasy classic series.","5,712",/book/show/18116.His_Dark_Materials
A Streetcar Named Desire,Tennessee Williams,"53,824",107,1947,"Plays,Classics,Fiction,Drama,School,Theatre,Read For School",The Pulitzer Prize and Drama Critics Circle Award winning play—reissued with an introduction by Arthur Miller (,"7,022",/book/show/12220.A_Streetcar_Named_Desire
"The Forsyte Saga (The Forsyte Chronicles, #1-3)",John Galsworthy,"5,677",872,1921,"Fiction,Historical Fiction,Classics,British Literature,Literature,Romance,Historical","John Galsworthy, a Nobel Prize-winning author, chronicles the ebbing social power of the commercial upper-middle-class Forsyte family through three generations, beginning in Victorian London during the 1880s and ending in the early 1920s.",994,/book/show/103159.The_Forsyte_Saga
Man’s Search for Meaning,Viktor E. Frankl,"53,824",165,1959,"Nonfiction,Psychology,Philosophy,Self Help,Memoir,Biography,Classics","Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Based on his own experience and the stories of his patients, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. At the heart of his theory, known as logotherapy, is a conviction that the primary human drive is not pleasure but the pursuit of what we find meaningful. ","38,992",/book/show/4069.Man_s_Search_for_Meaning
Pygmalion,George Bernard Shaw,"9,637",82,1913,"Classics,Plays,Fiction,Drama,Theatre,School,Literature","One of George Bernard Shaw's best-known plays, Pygmalion was a rousing success on the London and New York stages, an entertaining motion picture and a great hit with its musical version, My Fair Lady. An updated and considerably revised version of the ancient Greek legend of Pygmalion and Galatea, the 20th-century story pokes fun at the antiquated British class system. ","3,512",/book/show/7714.Pygmalion
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"5,677",372,1989,"Self Help,Nonfiction,Business,Personal Development,Psychology,Leadership,Productivity","When Stephen Covey first released The Seven Habits of Highly Effective People, the book became an instant rage because people suddenly got up and took notice that their lives were headed off in the wrong direction; and more than that, they realized that there were so many simple things they could do in order to navigate their life correctly. This book was wonderful education for people, education in how to live life effectively and get closer to the ideal of being a ‘success’ in life.","14,663",/book/show/36072.The_7_Habits_of_Highly_Effective_People
All Quiet on the Western Front,Erich Maria Remarque,"998,587",296,1928,"Classics,Fiction,Historical Fiction,War,Historical,Literature,School",One by one the boys begin to fall…,"17,927",/book/show/355697.All_Quiet_on_the_Western_Front
